🌟央臺🌟,#genre#
CCTV1,http://47.104.178.59:3566/608807420
CCTV2,http://47.104.178.59:3566/631780532
CCTV3,http://47.104.178.59:3566/624878271
CCTV4,http://47.104.178.59:3566/631780421
CCTV5,http://47.104.178.59:3566/641886683
CCTV5+,http://47.104.178.59:3566/641886773
CCTV6,http://47.104.178.59:3566/624878396
CCTV7,http://47.104.178.59:3566/673168121
CCTV8,http://47.104.178.59:3566/624878356
CCTV9,http://47.104.178.59:3566/673168140
CCTV10,http://47.104.178.59:3566/624878405
CCTV11,http://47.104.178.59:3566/667987558
CCTV12,http://47.104.178.59:3566/673168185
CCTV13,http://47.104.178.59:3566/608807423
CCTV14,http://47.104.178.59:3566/624878440
CCTV15,http://47.104.178.59:3566/673168223
CCTV-第一剧场,http://173.208.212.130:8181/720p/dyjc.m3u8
CCTV-风云剧场,http://173.208.212.130:8181/720p/fyjc.m3u8
CCTV-怀旧剧场,http://173.208.212.130:8181/720p/hjjc.m3u8
CCTV-兵器科技,http://173.208.212.130:8181/720p/gfjs.m3u8
CCTV-女性时尚,http://173.208.212.130:8181/720p/nxss.m3u8
CCTV-世界地理,http://173.208.212.130:8181/720p/sjdl.m3u8
CCTV-卫生健康,http://173.208.212.130:8181/720p/wsjk.m3u8
CCTV-风云音乐,http://173.208.212.130:8181/720p/fyyy.m3u8
CCTV-央视台球,http://173.208.212.130:8181/720p/ystq.m3u8
CCTV-风云足球,http://173.208.212.130:8181/720p/fyzq.m3u8
CCTV-高尔夫网球,http://173.208.212.130:8181/720p/gefwq.m3u8

🌟衛視🌟,#genre#
东方卫视,http://47.104.178.59:3566/651632648
江苏卫视,http://47.104.178.59:3566/623899368
广东卫视,http://47.104.178.59:3566/608831231
北京卫视,http://47.104.178.59:3566/630287636
辽宁卫视,http://47.104.178.59:3566/630291707
河北卫视,http://47.104.178.59:3566/962042070
江西卫视,http://47.104.178.59:3566/783847495
河南卫视,http://47.104.178.59:3566/790187291
陕西卫视,http://47.104.178.59:3566/738910838
大湾区卫视,http://47.104.178.59:3566/608917627
湖北卫视,http://47.104.178.59:3566/947472496
吉林卫视,http://47.104.178.59:3566/947472500
青海卫视,http://47.104.178.59:3566/947472506
东南卫视,http://47.104.178.59:3566/849116810
海南卫视,http://47.104.178.59:3566/947472502
海峡卫视,http://47.104.178.59:3566/849119120
中国农林卫视,http://47.104.178.59:3566/956904896
兵团卫视,http://47.104.178.59:3566/956923145
宁夏卫视,http://47.104.178.59:3566/738910535
重庆卫视,http://47.104.178.59:3566/738910914
三沙卫视,http://47.104.178.59:3566/961023778

🌟台灣🌟,#genre#
民視第一台,http://4gtv.cnlive.club/channel/nc56ba28/index.m3u8?q=1784706116084
民視台灣台,http://4gtv.cnlive.club/channel/nce5d867/index.m3u8?q=1784706116084
民視,http://4gtv.cnlive.club/channel/n7222a63c/index.m3u8?q=1784706116084
大愛電視,http://4gtv.cnlive.club/channel/n7d3037d2/index.m3u8?q=1784706116084
中視,http://4gtv.cnlive.club/channel/n722644d8/index.m3u8?q=1784706116084
華視,http://4gtv.cnlive.club/channel/n721fc25a/index.m3u8?q=1784706116084
三立綜合台,http://4gtv.cnlive.club/channel/45c7d3e3/index.m3u8?q=1784706116084
八大綜藝台,http://4gtv.cnlive.club/channel/662e9334/index.m3u8?q=1784706116084
TVBS精采台,http://4gtv.cnlive.club/channel/49d50255/index.m3u8?q=1784706116084
靖天綜合台,http://4gtv.cnlive.club/channel/3f6ecb92/index.m3u8?q=1784706116084
靖天日本台,http://4gtv.cnlive.club/channel/3f1816f7/index.m3u8?q=1784706116084
民視綜藝台,http://4gtv.cnlive.club/channel/nc46cff5/index.m3u8?q=1784706116084
豬哥亮歌廳秀,http://4gtv.cnlive.club/channel/n4271efdd/index.m3u8?q=1784706116084
靖天育樂台,http://4gtv.cnlive.club/channel/3f7d0a6e/index.m3u8?q=1784706116084
KLT-靖天國際台,http://4gtv.cnlive.club/channel/n481b36ac/index.m3u8?q=1784706116084
靖天資訊台,http://4gtv.cnlive.club/channel/3fae463b/index.m3u8?q=1784706116084
TVBS歡樂台,http://4gtv.cnlive.club/channel/498f035d/index.m3u8?q=1784706116084
鏡電視新聞台,http://4gtv.cnlive.club/channel/351c8485/index.m3u8?q=1784706116084
東森新聞台,http://4gtv.cnlive.club/channel/n5ca63a3a/index.m3u8?q=1784706116084
華視新聞,http://4gtv.cnlive.club/channel/n692bc32c/index.m3u8?q=1784706116084
民視新聞台,http://4gtv.cnlive.club/channel/nca14742/index.m3u8?q=1784706116084
三立新聞iNEWS,http://4gtv.cnlive.club/channel/4fa717ad/index.m3u8?q=1784706116084
TVBS新聞,http://4gtv.cnlive.club/channel/n1ea96b20/index.m3u8?q=1784706116084
中視新聞,http://4gtv.cnlive.club/channel/7e6461d6/index.m3u8?q=1784706116084
中天新聞台,http://4gtv.cnlive.club/channel/3824d067/index.m3u8?q=1784706116084
寰宇新聞台,http://4gtv.cnlive.club/channel/n4da4274/index.m3u8?q=1784706116084
寰宇新聞台灣台,http://4gtv.cnlive.club/channel/n37458587/index.m3u8?q=1784706116084
TVBS,http://4gtv.cnlive.club/channel/58f128b2/index.m3u8?q=1784706116084
公視戲劇,http://4gtv.cnlive.club/channel/7fdd881e/index.m3u8?q=1784706116084
八大精彩台,http://4gtv.cnlive.club/channel/6626a9ca/index.m3u8?q=1784706116084
靖天戲劇台,http://4gtv.cnlive.club/channel/3f07b409/index.m3u8?q=1784706116084
靖洋戲劇台,http://4gtv.cnlive.club/channel/48117ce7/index.m3u8?q=1784706116084
采昌影劇台,http://4gtv.cnlive.club/channel/n97ba44a/index.m3u8?q=1784706116084
